*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ttcc
*Date=19:00:23
*CreatedBy=Fritzing 0.9.6b..
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;300 mil [THT];36.6014;-179.372;0;Bottom;D44
2;;;274.665;-131.566;0;Bottom;MX113
3;;300 mil [THT];74.7014;-179.372;0;Bottom;D35
4;;300 mil [THT];255.549;-46.022;0;Bottom;D113
5;;300 mil [THT];236.499;-160.322;0;Bottom;D58
6;;;198.486;-150.608;0;Bottom;MX104
7;;;326.136;-221.536;0;Bottom;Hole129
8;;300 mil [THT];198.399;-179.372;0;Bottom;D39
9;;;131.792;-17.2578;0;Bottom;MX210
10;;;93.6888;-55.3463;0;Bottom;MX191
11;;;198.486;-17.2626;0;Bottom;MX216
12;;;263.879;-91.4473;0;Bottom;Hole97
13;;300 mil [THT];217.449;-179.372;0;Bottom;D33
14;;;150.861;-169.65;0;Bottom;MX89
15;;;282.957;-91.4473;0;Bottom;Hole101
16;;;158.122;-102.664;-90;Bottom;TXT2
17;;;17.5071;-150.609;0;Bottom;MX108
18;;;267.716;-91.4473;0;Bottom;Hole99
19;;;248.638;-115.154;0;Bottom;Hole94
20;;300 mil [THT];198.399;-160.322;0;Bottom;D55
21;;;17.5071;-74.4223;0;Bottom;MX172
22;;;255.623;-169.666;0;Bottom;MX84
23;;300 mil [THT];255.549;-160.322;0;Bottom;D53
24;;;131.792;-74.4172;0;Bottom;MX162
25;;;131.792;-131.558;0;Bottom;MX114
26;;300 mil [THT];293.649;-84.122;0;Bottom;D107
27;;;74.6512;-17.2539;0;Bottom;MX214
28;;;166.37;-124.47;0;Bottom;Via15
29;;;286.766;-186.697;0;Bottom;Hole75
30;;300 mil [THT];131.851;-160.322;0;Bottom;D57
31;;;150.861;-74.4082;0;Bottom;MX169
32;;;166.37;-155.979;0;Bottom;Via12
33;;300 mil [THT];217.449;-160.322;0;Bottom;D49
34;;300 mil [THT];217.449;-46.022;0;Bottom;D114
35;;300 mil [THT];112.801;-179.372;0;Bottom;D36
36;;300 mil [THT];17.5514;-179.372;0;Bottom;D40
37;;;93.6888;-169.659;0;Bottom;MX95
38;;300 mil [THT];255.549;-217.472;0;Bottom;D15
39;;;74.6512;-55.3425;0;Bottom;MX182
40;;;93.6887;-207.758;0;Bottom;MX53
41;;;46.228;-130.858;0;Bottom;Via3
42;;;74.6653;-112.504;0;Bottom;MX134
43;;;312.797;-198.367;0;Bottom;MX227
44;;;207.998;-101.916;0;Bottom;Via21
45;;;44.8181;-91.4473;0;Bottom;Hole85
46;;;179.418;-55.3347;0;Bottom;MX187
47;;;321.01;-77.054;0;Bottom;Hole124
48;;;210.548;-53.3473;0;Bottom;Hole103
49;;;286.719;-53.3473;0;Bottom;Hole119
50;;300 mil [THT];150.901;-217.472;0;Bottom;D8
51;;;37.3858;-27.1475;-90;Bottom;IMG3
52;;;55.5952;-55.3515;0;Bottom;MX189
53;;;302.007;-186.697;0;Bottom;Hole77
54;;;217.53;-36.3056;0;Bottom;MX199
55;;;142.882;-102.664;-90;Bottom;TXT2
56;;300 mil [THT];112.801;-160.322;0;Bottom;D52
57;;;312.773;-150.601;0;Bottom;MX106
58;;300 mil [THT];55.6514;-84.122;0;Bottom;D91
59;;;112.754;-74.4182;0;Bottom;MX165
60;;;169.898;-141.272;0;Bottom;Via1
61;;;286.719;-77.054;0;Bottom;Hole118
62;;300 mil [THT];217.449;-122.222;0;Bottom;D84
63;;;236.585;-131.561;0;Bottom;MX126
64;;;150.861;-188.68;0;Bottom;MX73
65;;;305.769;-77.054;0;Bottom;Hole122
66;;300 mil [THT];17.5514;-46.022;0;Bottom;D100
67;;;145.422;-102.664;-90;Bottom;TXT2
68;;300 mil [THT];217.449;-84.122;0;Bottom;D105
69;;;112.754;-207.759;0;Bottom;MX52
70;;300 mil [THT];93.7514;-198.422;0;Bottom;D25
71;;;135.239;-122.424;-90;Bottom;TXT2
72;;;275.478;-65.2475;-90;Bottom;IMG3
73;;;141.986;-87.678;0;Bottom;Via29
74;;;217.53;-17.2462;0;Bottom;MX215
75;;;198.486;-36.322;0;Bottom;MX200
76;;;93.6888;-150.603;0;Bottom;MX111
77;;;244.876;-77.054;0;Bottom;Hole108
78;;300 mil [THT];312.699;-103.172;0;Bottom;D88
79;;300 mil [THT];293.649;-160.322;0;Bottom;D54
80;;;52.07;-4.43185;0;Bottom;TXT4
81;;;274.65;-65.017;0;Bottom;MX236
82;;300 mil [THT];131.851;-46.022;0;Bottom;D101
83;;300 mil [THT];179.349;-160.322;0;Bottom;D48
84;;300 mil [THT];17.5514;-141.272;0;Bottom;D72
85;;;179.432;-112.496;0;Bottom;MX139
86;;;282.957;-115.154;0;Bottom;Hole100
87;;300 mil [THT];179.349;-198.422;0;Bottom;D20
88;;;217.53;-150.592;0;Bottom;MX103
89;;;312.773;-131.556;0;Bottom;MX122
90;;;155.582;-102.664;-90;Bottom;TXT2
91;;;93.6888;-36.3172;0;Bottom;MX207
92;;;131.792;-150.604;0;Bottom;MX98
93;;;17.5071;-169.664;0;Bottom;MX92
94;;300 mil [THT];150.901;-160.322;0;Bottom;D59
95;;300 mil [THT];74.7014;-160.322;0;Bottom;D51
96;;;147.962;-102.664;-90;Bottom;TXT2
97;;;153.042;-102.664;-90;Bottom;TXT2
98;;;17.5212;-112.513;0;Bottom;MX140
99;;;4.064;-112.824;0;Bottom;Hole132
100;;300 mil [THT];112.801;-198.422;0;Bottom;D24
101;;300 mil [THT];312.699;-141.272;0;Bottom;D63
102;;;44.8181;-186.697;0;Bottom;Hole73
103;;;29.5772;-91.4473;0;Bottom;Hole83
104;;;93.7029;-112.508;0;Bottom;MX143
105;;;179.418;-17.2461;0;Bottom;MX219
106;;;162.56;-213.154;0;Bottom;Via8
107;;;301.96;-77.054;0;Bottom;Hole120
108;;;312.773;-36.315;0;Bottom;MX202
109;;300 mil [THT];17.5514;-217.472;0;Bottom;D1
110;;;143.51;-86.408;0;Bottom;Via28
111;;;44.8181;-210.404;0;Bottom;Hole72
112;;;255.623;-17.2645;0;Bottom;MX212
113;;300 mil [THT];274.599;-198.422;0;Bottom;D27
114;;;267.669;-77.054;0;Bottom;Hole114
115;;;312.787;-112.506;0;Bottom;MX138
116;;300 mil [THT];274.599;-122.222;0;Bottom;D83
117;;;168.402;-106.728;0;Bottom;Via16
118;;;179.418;-169.647;0;Bottom;MX91
119;;300 mil [THT];179.349;-122.222;0;Bottom;D87
120;;;131.792;-169.659;0;Bottom;MX82
121;;;140.716;-88.948;0;Bottom;Via30
122;;;286.766;-210.404;0;Bottom;Hole74
123;;300 mil [THT];274.599;-26.972;0;Bottom;D111
124;;300 mil [THT];36.6014;-122.222;0;Bottom;D79
125;;300 mil [THT];274.599;-179.372;0;Bottom;D34
126;;;326.136;-4.112;0;Bottom;Hole128
127;;;55.5952;-36.3224;0;Bottom;MX205
128;;;217.544;-112.496;0;Bottom;MX135
129;;;122.908;-90.6978;0;Bottom;Via23
130;;;74.6512;-131.554;0;Bottom;MX118
131;;;267.716;-115.154;0;Bottom;Hole98
132;;;163.83;-194.065;0;Bottom;Via10
133;;;132.722;-102.664;-90;Bottom;TXT2
134;;;198.486;-74.422;0;Bottom;MX168
135;;;93.6888;-188.689;0;Bottom;MX79
136;;;217.528;-65.017;0;Bottom;MX233
137;;;263.86;-53.3473;0;Bottom;Hole113
138;;;137.779;-122.424;-90;Bottom;TXT2
